date,ETF01,ETF02,ETF03,ETF04,ETF05,ETF06
2016-01-04,185.4199981689453,31.46500015258789,30.165000915527344,17.90999984741211,136.17999267578125,150.63999938964844
2016-01-05,187.2899932861328,31.48500061035156,30.934999465942383,18.209999084472656,135.8350067138672,150.99000549316406
2016-01-06,186.03500366210935,31.28499984741211,30.299999237060547,17.889999389648438,136.35000610351562,151.27000427246094
2016-01-07,183.0500030517578,30.96500015258789,29.70499992370605,17.43000030517578,136.44000244140625,150.6999969482422
2016-01-08,179.97999572753906,30.725000381469727,28.88999938964844,16.90999984741211,137.125,151.16000366210938
2016-01-11,178.02999877929688,30.565000534057617,28.88999938964844,16.81999969482422,136.98500061035156,150.52000427246094
2016-01-12,178.94000244140625,30.989999771118164,28.899999618530277,16.959999084472656,137.23500061035156,150.41000366210938
2016-01-13,180.1999969482422,30.989999771118164,29.174999237060547,17.06999969482422,137.44500732421875,150.7899932861328
2016-01-14,177.3249969482422,30.76499938964844,28.854999542236328,16.81999969482422,137.77999877929688,150.72999572753906
2016-01-15,174.75999450683594,30.24500084,28.07999992370605,16.190000534057617,138.36500549316406,151.0399932861328
2016-01-18,174.77000427246094,30.065000534057617,28.165000915527344,16.37999916,138.32000732421875,151.0500030517578
2016-01-19,175.9600067138672,30.78499984741211,28.479999542236328,16.59000015258789,138.15499877929688,151.17999267578125
2016-01-20,170.43499755859375,29.75,27.05500030517578,16.020000457763672,139.0800018310547,151.11000061035156
2016-01-21,174.3000030517578,30.155000686645508,27.51000022888184,16.399999618530273,138.7899932861328,151.8300018310547
2016-01-22,176.60499572753906,30.74500084,28.405000686645508,16.799999237060547,138.0800018310547,151.55999755859375
2016-01-25,176.2899932861328,30.71999931335449,28.25499916,16.739999771118164,138.47999572753906,151.72000122070312
2016-01-26,176.32000732421875,30.88500022888184,28.24500084,16.75,138.64500427246094,152.25999450683594
2016-01-27,177.1699981689453,31.09000015258789,28.59000015258789,16.809999465942383,138.49000549316406,152.32000732421875
2016-01-28,175.25999450683594,30.62000084,28.13999938964844,16.719999313354492,138.85499572753906,152.57000732421875
2016-01-29,178.2100067138672,31.34499931335449,29.065000534057617,17.290000915527344,139.78500366210938,153.5
2016-02-01,179.75999450683594,31.09000015258789,28.88999938964844,17.200000762939453,139.35000610351562,153.0
2016-02-02,178.24000549316406,30.434999465942383,28.625,16.889999389648438,140.19000244140625,153.14999389648438
2016-02-03,175.77000427246094,29.96500015258789,27.61000061035156,16.559999465942383,140.64500427246094,153.61000061035156
2016-02-04,177.8000030517578,30.32999992370605,27.43000030517578,16.809999465942383,140.52999877929688,153.08999633789062
2016-02-05,175.49000549316406,30.174999237060547,27.13500022888184,16.75,140.0800018310547,152.97999572753906
2016-02-08,171.27999877929688,29.32999992370605,26.795000076293945,16.34000015258789,141.6750030517578,152.72000122070312
2016-02-09,172.52000427246094,29.09499931335449,26.155000686645508,16.0,141.76499938964844,152.74000549316406
2016-02-10,173.64500427246094,29.31999969482422,26.030000686645508,16.350000381469727,141.77999877929688,152.8699951171875
2016-02-11,169.1750030517578,28.71999931335449,25.100000381469727,15.68000030517578,143.5449981689453,152.92999267578125
2016-02-12,172.9949951171875,29.170000076293945,25.23500061035156,16.12999916,141.93499755859375,152.6699981689453
2016-02-15,175.8249969482422,29.850000381469727,26.44499969482422,16.530000686645508,141.57000732421875,153.05999755859375
2016-02-16,175.13499450683594,29.96500015258789,26.48500061035156,16.59000015258789,141.50999450683594,152.66000366210938
2016-02-17,179.3699951171875,30.739999771118164,27.06999969482422,16.940000534057617,140.72999572753906,152.72999572753906
2016-02-18,178.88999938964844,30.57999992370605,27.229999542236328,16.920000076293945,141.3300018310547,153.39999389648438
2016-02-19,178.77000427246094,30.46999931335449,26.895000457763672,16.87999916,141.74000549316406,153.38999938964844
2016-02-22,181.06500244140625,31.13500022888184,27.645000457763672,17.34000015258789,141.5800018310547,153.83999633789062
2016-02-23,179.35000610351562,30.850000381469727,27.11000061035156,17.100000381469727,141.81500244140625,153.8000030517578
2016-02-24,176.7449951171875,30.44499969482422,26.87999916,16.75,142.52000427246094,154.02999877929688
2016-02-25,180.22000122070312,31.09000015258789,27.524999618530277,16.93000030517578,142.1999969482422,154.19000244140625
2016-02-26,182.2250061035156,31.46500015258789,28.20499992370605,17.12999916,141.55499267578125,154.32000732421875
2016-02-29,182.1999969482422,31.25499916,28.00499916,17.420000076293945,141.6199951171875,154.8699951171875
2016-03-01,183.1000061035156,31.790000915527344,28.34000015258789,17.809999465942383,140.91000366210938,154.7100067138672
2016-03-02,184.5449981689453,31.68000030517578,28.799999237060547,18.040000915527344,140.22999572753906,154.0500030517578
2016-03-03,184.5,31.604999542236328,28.700000762939453,18.040000915527344,140.5,154.4499969482422
2016-03-04,186.8000030517578,31.934999465942383,28.989999771118164,18.37000084,139.94500732421875,153.85000610351562
2016-03-07,186.6000061035156,31.780000686645508,28.61000061035156,18.40999984741211,139.90499877929688,154.0500030517578
2016-03-08,185.2550048828125,31.665000915527344,28.295000076293945,18.030000686645508,140.7899932861328,154.49000549316406
2016-03-09,185.6000061035156,31.75,28.299999237060547,18.229999542236328,140.15499877929688,154.1300048828125
2016-03-10,184.3600006103516,31.459999084472656,27.73500061035156,17.75,139.5850067138672,153.60000610351562
2016-03-11,188.22000122070312,32.029998779296875,28.51000022888184,18.309999465942383,139.09500122070312,154.3300018310547
2016-03-14,188.50999450683597,32.26499938964844,28.78499984741211,18.34000015258789,139.4499969482422,154.4199981689453
2016-03-15,187.6999969482422,32.275001525878906,28.37000084,18.020000457763672,139.36000061035156,153.89999389648438
2016-03-16,188.3000030517578,32.33000183105469,28.399999618530277,18.11000061035156,139.00999450683594,154.02999877929688
2016-03-17,190.3999938964844,32.11000061035156,28.09499931335449,18.43000030517578,140.17999267578125,154.9199981689453
2016-03-18,191.25999450683597,32.154998779296875,28.165000915527344,18.59000015258789,140.4250030517578,154.9600067138672
2016-03-21,191.2400054931641,32.18000030517578,28.225000381469727,18.63999938964844,140.14999389648438,154.9499969482422
2016-03-22,191.6000061035156,32.41999816894531,28.565000534057617,18.71999931335449,140.21499633789062,155.0800018310547
2016-03-23,190.82000732421875,32.560001373291016,28.415000915527344,18.489999771118164,140.0850067138672,155.0
2016-03-24,189.2400054931641,31.99500084,28.03499984741211,18.309999465942383,140.2449951171875,155.1199951171875
2016-03-29,189.9499969482422,31.88500022888184,28.415000915527344,18.37000084,140.72500610351562,155.74000549316406
2016-03-30,192.9499969482422,32.41999816894531,28.40999984741211,18.729999542236328,140.89500427246094,155.75999450683594
2016-03-31,192.75999450683597,32.25999832,27.934999465942383,18.62999916,141.38499450683594,155.72999572753906
2016-04-01,192.6499938964844,32.224998474121094,27.18000030517578,18.420000076293945,141.55999755859375,155.80999755859375
2016-04-04,193.1999969482422,32.17499923706055,27.165000915527344,18.399999618530277,141.77499389648438,155.8000030517578
2016-04-05,191.3800048828125,31.895000457763672,26.50499916,18.049999237060547,142.19000244140625,155.80999755859375
2016-04-06,192.1699981689453,32.23500061035156,26.729999542236328,18.040000915527344,142.08999633789062,155.6699981689453
2016-04-07,191.1999969482422,32.02000045776367,26.87000084,17.899999618530273,142.6649932861328,155.35000610351562
2016-04-08,191.8650054931641,32.43000030517578,27.62000084,18.15999984741211,142.3800048828125,155.6999969482422
2016-04-11,191.8999938964844,32.34000015258789,27.584999084472656,18.34000015258789,142.47500610351562,155.5
2016-04-12,192.25,32.439998626708984,28.065000534057617,18.51000022888184,142.06500244140625,155.08999633789062
2016-04-13,194.0850067138672,32.95500183105469,29.045000076293945,19.09000015258789,141.86000061035156,155.61000061035156
2016-04-14,194.83999633789065,33.224998474121094,29.274999618530277,19.09000015258789,141.74000549316406,155.25999450683594
2016-04-15,194.5,33.11000061035156,28.90999984741211,18.989999771118164,142.0749969482422,155.50999450683594
2016-04-18,195.22999572753903,33.18000030517578,28.920000076293945,18.950000762939453,141.80999755859375,155.30999755859375
2016-04-19,196.22000122070312,33.46500015258789,29.415000915527344,19.13999938964844,141.6750030517578,155.00999450683594
2016-04-20,196.72999572753903,33.599998474121094,29.63500022888184,19.09000015258789,141.84500122070312,155.24000549316406
2016-04-21,196.1699981689453,33.529998779296875,29.625,19.049999237060547,140.77000427246094,154.42999267578125
2016-04-22,194.8999938964844,33.064998626708984,29.90999984741211,19.01000022888184,140.7550048828125,154.41000366210938
2016-04-25,194.5399932861328,32.744998931884766,29.604999542236328,18.81999969482422,140.55999755859375,153.9600067138672
2016-04-26,195.25,32.775001525878906,29.38999938964844,18.850000381469727,140.25999450683594,153.77000427246094
2016-04-27,195.2899932861328,32.959999084472656,29.38999938964844,18.850000381469727,140.5850067138672,153.8800048828125
2016-04-28,196.0800018310547,32.91999816894531,28.614999771118164,18.950000762939453,141.05499267578125,154.32000732421875
2016-04-29,192.13999938964844,32.58000183105469,27.645000457763672,18.450000762939453,141.30999755859375,154.02000427246094
2016-05-03,192.17999267578125,32.34000015258789,27.71999931335449,17.989999771118164,141.90499877929688,154.7100067138672
2016-05-04,191.47000122070312,32.029998779296875,27.524999618530277,17.739999771118164,141.85000610351562,154.6199951171875
2016-05-05,192.08999633789065,31.90999984741211,27.90999984741211,17.87000084,142.0399932861328,154.85000610351562
2016-05-06,191.3999938964844,31.99500084,27.934999465942383,17.790000915527344,142.2899932861328,154.9600067138672
2016-05-09,192.22999572753903,32.165000915527344,28.12000084,17.62000084,142.3300018310547,155.19000244140625
2016-05-10,194.0850067138672,32.29499816894531,28.670000076293945,17.920000076293945,142.32000732421875,155.14999389648438
2016-05-11,194.22999572753903,32.32500076293945,28.32999992370605,17.90999984741211,142.38499450683594,155.25999450683594
2016-05-12,192.4900054931641,32.01499938964844,28.44499969482422,17.84000015258789,142.27999877929688,154.92999267578125
2016-05-13,193.2400054931641,32.150001525878906,28.46999931335449,17.850000381469727,142.34500122070312,155.2100067138672
2016-05-17,192.69500732421875,32.0,28.614999771118164,17.829999923706055,142.27499389648438,155.35000610351562
2016-05-18,192.08999633789065,31.834999084472656,28.74500084,17.829999923706055,141.4949951171875,154.99000549316406
2016-05-19,189.77999877929688,31.40999984741211,28.48500061035156,17.540000915527344,141.0449981689453,154.8800048828125
2016-05-20,192.6499938964844,31.905000686645508,28.84000015258789,17.84000015258789,141.02499389648438,155.0399932861328
2016-05-23,192.3000030517578,31.924999237060547,28.774999618530277,17.829999923706055,141.0399932861328,154.92999267578125
2016-05-24,194.1649932861328,32.13999938964844,29.024999618530277,18.059999465942383,140.8000030517578,155.25
2016-05-25,195.66000366210935,32.380001068115234,29.21999931335449,18.239999771118164,141.0749969482422,155.6999969482422
2016-05-26,195.7550048828125,32.53499984741211,29.12999916,18.25,141.22999572753906,155.6699981689453
2016-05-27,196.3600006103516,32.59000015258789,29.19499969482422,18.43000030517578,141.27000427246094,155.74000549316406
2016-05-31,196.4199981689453,32.564998626708984,29.424999237060547,18.32999992370605,141.1699981689453,155.66000366210938
2016-06-01,196.13999938964844,32.68000030517578,29.25,18.299999237060547,141.4250030517578,155.7100067138672
2016-06-02,196.3000030517578,32.63999938964844,29.040000915527344,18.420000076293945,141.65499877929688,155.9199981689453
2016-06-03,195.91000366210935,32.630001068115234,28.71999931335449,18.36000061035156,142.8350067138672,156.30999755859375
2016-06-06,197.5800018310547,32.994998931884766,28.989999771118164,18.56999969482422,142.5500030517578,155.8300018310547
2016-06-07,198.3999938964844,33.064998626708984,29.334999084472656,18.770000457763672,142.81500244140625,156.3300018310547
2016-06-08,198.1000061035156,33.07500076293945,29.325000762939453,18.790000915527344,142.86500549316406,156.4499969482422
2016-06-09,197.7100067138672,32.77000045776367,29.065000534057617,18.709999084472656,143.19000244140625,156.63999938964844
2016-06-10,196.9600067138672,32.185001373291016,28.76000022888184,18.450000762939453,143.61500549316406,156.66000366210938
2016-06-13,195.9900054931641,31.84000015258789,28.37999916,18.15999984741211,143.82000732421875,156.22999572753906
2016-06-14,193.8500061035156,31.270000457763672,28.13500022888184,18.040000915527344,144.0800018310547,155.9600067138672
2016-06-15,194.9499969482422,31.49500084,28.405000686645508,18.290000915527344,144.2050018310547,156.16000366210938
2016-06-16,193.27999877929688,31.309999465942383,28.295000076293945,18.170000076293945,144.5850067138672,155.86000061035156
2016-06-17,193.57000732421875,31.46999931335449,28.049999237060547,18.170000076293945,144.13499450683594,155.9499969482422
2016-06-20,196.6100006103516,31.99500084,28.924999237060547,18.559999465942383,143.40499877929688,156.1999969482422
2016-06-21,195.6199951171875,32.16999816894531,29.170000076293945,18.62000084,143.28500366210938,156.22999572753906
2016-06-22,196.85499572753903,32.35499954223633,28.905000686645508,18.75,143.07000732421875,156.17999267578125
2016-06-23,197.5500030517578,32.64500045776367,28.99500084,18.82999992370605,142.7550048828125,156.16000366210938
2016-06-24,192.8249969482422,32.209999084472656,28.76000022888184,18.420000076293945,144.65499877929688,156.02999877929688
2016-06-27,187.4900054931641,31.75499916,28.604999542236328,18.15999984741211,145.75999450683594,157.08999633789062
2016-06-28,189.25,32.369998931884766,28.940000534057617,18.559999465942383,145.94000244140625,157.8800048828125
2016-06-29,193.66000366210935,33.04999923706055,29.25499916,19.020000457763672,145.80999755859375,158.27999877929688
2016-06-30,195.35499572753903,33.91999816894531,28.940000534057617,19.149999618530277,145.6649932861328,158.50999450683594
2016-07-01,197.3999938964844,34.439998626708984,28.95499992370605,19.280000686645508,145.91000366210938,159.14999389648438
2016-07-04,197.5,34.130001068115234,29.155000686645508,19.350000381469727,146.02999877929688,159.08999633789062
2016-07-05,195.8699951171875,34.13499832,29.12999916,19.06999969482422,146.8300018310547,159.25
2016-07-06,195.8699951171875,33.83000183105469,28.934999465942383,18.84000015258789,146.75999450683594,159.32000732421875
2016-07-07,197.13499450683597,34.10499954223633,29.184999465942383,19.059999465942383,146.5800018310547,159.13999938964844
2016-07-08,199.3800048828125,34.47999954223633,29.40999984741211,19.34000015258789,146.5449981689453,159.61000061035156
2016-07-11,200.8300018310547,34.93000030517578,30.12999916,19.63999938964844,146.3300018310547,159.41000366210938
2016-07-12,201.97000122070312,34.78499984741211,30.225000381469727,19.770000457763672,145.39999389648438,158.88999938964844
