,ETF01,ETF02,ETF03,ETF04,ETF05,ETF06
count,2499.0,2499.0,2499.0,2499.0,2499.0,2499.0
mean,344.3464848231684,59.68527156998112,40.80558421715937,27.052391373566806,131.80328923391474,157.65392664023616
std,133.84372474422415,13.882888623108425,7.343156618150767,4.566819839392215,9.036632247484212,10.929385444925703
min,149.96518021292923,36.97125484766388,25.100000381469727,15.68000030517578,108.14089729619808,136.1750030517578
25%,224.72787237870307,48.93538961912395,35.31999969482422,23.874500275041505,127.00570117265761,150.74250030517578
50%,311.0174352643262,56.292639591030365,40.23500061035156,26.982999801635746,131.446287924452,156.0399932861328
75%,423.7442627734954,68.29261487609291,44.90250015258789,30.82550048828125,138.01652782829842,169.07250213623047
max,635.4938479836273,94.227769241333,59.70500183105469,39.2140007,157.4831919004555,177.4949951171875
