date,etf_id,adjusted_close
2016-01-04,ETF01,185.4199981689453
2016-01-04,ETF02,31.46500015258789
2016-01-04,ETF03,30.165000915527344
2016-01-04,ETF04,17.90999984741211
2016-01-04,ETF05,136.17999267578125
2016-01-04,ETF06,150.63999938964844
2016-01-05,ETF01,187.2899932861328
2016-01-05,ETF02,31.48500061035156
2016-01-05,ETF03,30.934999465942383
2016-01-05,ETF04,18.209999084472656
2016-01-05,ETF05,135.8350067138672
2016-01-05,ETF06,150.99000549316406
2016-01-06,ETF01,186.03500366210935
2016-01-06,ETF02,31.28499984741211
2016-01-06,ETF03,30.299999237060547
2016-01-06,ETF04,17.889999389648438
2016-01-06,ETF05,136.35000610351562
2016-01-06,ETF06,151.27000427246094
2016-01-07,ETF01,183.0500030517578
2016-01-07,ETF02,30.96500015258789
2016-01-07,ETF03,29.70499992370605
2016-01-07,ETF04,17.43000030517578
2016-01-07,ETF05,136.44000244140625
2016-01-07,ETF06,150.6999969482422
2016-01-08,ETF01,179.97999572753906
2016-01-08,ETF02,30.725000381469727
2016-01-08,ETF03,28.88999938964844
2016-01-08,ETF04,16.90999984741211
2016-01-08,ETF05,137.125
2016-01-08,ETF06,151.16000366210938
2016-01-11,ETF01,178.02999877929688
2016-01-11,ETF02,30.565000534057617
2016-01-11,ETF03,28.88999938964844
2016-01-11,ETF04,16.81999969482422
2016-01-11,ETF05,136.98500061035156
2016-01-11,ETF06,150.52000427246094
2016-01-12,ETF01,178.94000244140625
2016-01-12,ETF02,30.989999771118164
2016-01-12,ETF03,28.899999618530277
2016-01-12,ETF04,16.959999084472656
2016-01-12,ETF05,137.23500061035156
2016-01-12,ETF06,150.41000366210938
2016-01-13,ETF01,180.1999969482422
2016-01-13,ETF02,30.989999771118164
2016-01-13,ETF03,29.174999237060547
2016-01-13,ETF04,17.06999969482422
2016-01-13,ETF05,137.44500732421875
2016-01-13,ETF06,150.7899932861328
2016-01-14,ETF01,177.3249969482422
2016-01-14,ETF02,30.76499938964844
2016-01-14,ETF03,28.854999542236328
2016-01-14,ETF04,16.81999969482422
2016-01-14,ETF05,137.77999877929688
2016-01-14,ETF06,150.72999572753906
2016-01-15,ETF01,174.75999450683594
2016-01-15,ETF02,30.24500084
2016-01-15,ETF03,28.07999992370605
2016-01-15,ETF04,16.190000534057617
2016-01-15,ETF05,138.36500549316406
2016-01-15,ETF06,151.0399932861328
2016-01-18,ETF01,174.77000427246094
2016-01-18,ETF02,30.065000534057617
2016-01-18,ETF03,28.165000915527344
2016-01-18,ETF04,16.37999916
2016-01-18,ETF05,138.32000732421875
2016-01-18,ETF06,151.0500030517578
2016-01-19,ETF01,175.9600067138672
2016-01-19,ETF02,30.78499984741211
2016-01-19,ETF03,28.479999542236328
2016-01-19,ETF04,16.59000015258789
2016-01-19,ETF05,138.15499877929688
2016-01-19,ETF06,151.17999267578125
2016-01-20,ETF01,170.43499755859375
2016-01-20,ETF02,29.75
2016-01-20,ETF03,27.05500030517578
2016-01-20,ETF04,16.020000457763672
2016-01-20,ETF05,139.0800018310547
2016-01-20,ETF06,151.11000061035156
2016-01-21,ETF01,174.3000030517578
2016-01-21,ETF02,30.155000686645508
2016-01-21,ETF03,27.51000022888184
2016-01-21,ETF04,16.399999618530273
2016-01-21,ETF05,138.7899932861328
2016-01-21,ETF06,151.8300018310547
2016-01-22,ETF01,176.60499572753906
2016-01-22,ETF02,30.74500084
2016-01-22,ETF03,28.405000686645508
2016-01-22,ETF04,16.799999237060547
2016-01-22,ETF05,138.0800018310547
2016-01-22,ETF06,151.55999755859375
2016-01-25,ETF01,176.2899932861328
2016-01-25,ETF02,30.71999931335449
2016-01-25,ETF03,28.25499916
2016-01-25,ETF04,16.739999771118164
2016-01-25,ETF05,138.47999572753906
2016-01-25,ETF06,151.72000122070312
2016-01-26,ETF01,176.32000732421875
2016-01-26,ETF02,30.88500022888184
2016-01-26,ETF03,28.24500084
2016-01-26,ETF04,16.75
2016-01-26,ETF05,138.64500427246094
2016-01-26,ETF06,152.25999450683594
2016-01-27,ETF01,177.1699981689453
2016-01-27,ETF02,31.09000015258789
2016-01-27,ETF03,28.59000015258789
2016-01-27,ETF04,16.809999465942383
2016-01-27,ETF05,138.49000549316406
2016-01-27,ETF06,152.32000732421875
2016-01-28,ETF01,175.25999450683594
2016-01-28,ETF02,30.62000084
2016-01-28,ETF03,28.13999938964844
2016-01-28,ETF04,16.719999313354492
2016-01-28,ETF05,138.85499572753906
2016-01-28,ETF06,152.57000732421875
2016-01-29,ETF01,178.2100067138672
2016-01-29,ETF02,31.34499931335449
2016-01-29,ETF03,29.065000534057617
2016-01-29,ETF04,17.290000915527344
2016-01-29,ETF05,139.78500366210938
2016-01-29,ETF06,153.5
2016-02-01,ETF01,179.75999450683594
2016-02-01,ETF02,31.09000015258789
2016-02-01,ETF03,28.88999938964844
2016-02-01,ETF04,17.200000762939453
2016-02-01,ETF05,139.35000610351562
2016-02-01,ETF06,153.0
2016-02-02,ETF01,178.24000549316406
2016-02-02,ETF02,30.434999465942383
2016-02-02,ETF03,28.625
2016-02-02,ETF04,16.889999389648438
2016-02-02,ETF05,140.19000244140625
2016-02-02,ETF06,153.14999389648438
2016-02-03,ETF01,175.77000427246094
2016-02-03,ETF02,29.96500015258789
2016-02-03,ETF03,27.61000061035156
2016-02-03,ETF04,16.559999465942383
2016-02-03,ETF05,140.64500427246094
2016-02-03,ETF06,153.61000061035156
2016-02-04,ETF01,177.8000030517578
2016-02-04,ETF02,30.32999992370605
2016-02-04,ETF03,27.43000030517578
2016-02-04,ETF04,16.809999465942383
2016-02-04,ETF05,140.52999877929688
