,ETF01,ETF02,ETF03,ETF04,ETF05,ETF06
ETF01,0.0001235917833408271,7.895350775095174e-05,6.973340860156822e-05,8.371011535121598e-05,1.4063911836379022e-05,1.576788182735834e-06
ETF02,7.895350775095174e-05,0.00011095110218137717,5.997473799083036e-05,7.427583468204736e-05,-8.780711801584035e-07,9.067417314413684e-07
ETF03,6.973340860156822e-05,5.997473799083036e-05,0.00010913292074482645,8.102611204284728e-05,-2.420457322036621e-06,3.7930873900564945e-06
ETF04,8.371011535121598e-05,7.427583468204736e-05,8.102611204284728e-05,0.00013353811110045313,-5.443182220763626e-06,1.882028535452621e-06
ETF05,1.4063911836379022e-05,-8.780711801584035e-07,-2.420457322036621e-06,-5.443182220763626e-06,3.594966668367441e-05,9.325305478217291e-06
ETF06,1.576788182735834e-06,9.067417314413684e-07,3.7930873900564945e-06,1.882028535452621e-06,9.325305478217291e-06,1.411635666382053e-05
