date,portfolio_return
2017-01-05,-0.0017118250053677455
2017-01-06,-0.0034034410337322224
2017-01-09,0.003847325291659595
2017-01-10,-0.00026239003975898364
2017-01-11,0.0028270816547617244
2017-01-12,-0.0001406033224849564
2017-01-13,-0.002559515190799493
2017-01-16,0.0009457649242086141
2017-01-17,0.0010625806044883902
2017-01-18,-0.003623107741309654
2017-01-19,-0.001626895673771175
2017-01-20,-0.0037467900919264507
2017-01-23,0.003094622271450814
2017-01-24,-0.003200830702238443
2017-01-25,-0.003453285112212725
2017-01-26,-0.004080579450617363
2017-01-27,0.0008002337067696655
2017-01-30,-0.002706476814933211
2017-01-31,0.0014720894723754198
2017-02-01,-0.003799989268312392
2017-02-02,0.004382214098254017
2017-02-03,-0.0008938133932521926
2017-02-06,-0.003986564680643315
2017-02-07,0.0022281376546610825
2017-02-08,0.005857506020979624
2017-02-09,0.0017499407631325486
2017-02-10,-0.002825743053786591
2017-02-13,0.0010957773516155327
2017-02-14,-0.000619902418355862
2017-02-15,-0.0002847190533811404
2017-02-16,0.00384016812380679
2017-02-17,-0.0010039075101979248
2017-02-20,0.0003461975195822503
2017-02-21,-0.0020931061157272706
2017-02-22,0.0030613443721831824
2017-02-23,0.0015424841239899123
2017-02-24,0.0035576241622325786
2017-02-27,0.0013183059898791646
2017-02-28,0.0008069367393067724
2017-03-01,-0.0031875331620226563
2017-03-02,-0.001262875207313126
2017-03-03,-0.0004272946108619471
2017-03-06,-0.0018883886288661334
2017-03-07,-8.148681485303044e-05
2017-03-08,-0.004674777781914683
2017-03-09,-0.002127420717673459
2017-03-10,-0.004636584487523773
2017-03-13,-0.0009242313493125639
2017-03-14,0.001314082049007478
2017-03-15,0.004331557692917145
2017-03-16,-0.004094553995437822
2017-03-17,-0.00045035610252957355
2017-03-20,0.0006204846846018665
2017-03-21,0.0011610811581129826
2017-03-22,0.003317653962989923
2017-03-23,-0.0003038774560669442
2017-03-24,0.002792820713272939
2017-03-27,0.00016177981534968764
2017-03-28,0.0018138910751975229
2017-03-29,0.003027131623681564
2017-03-30,0.0006226123408280198
2017-03-31,-0.0001697316023707194
2017-04-03,0.002142183230297539
2017-04-04,0.001894048829074214
2017-04-05,0.00021694139592273582
2017-04-06,-0.0004648419965531033
2017-04-07,0.0026458672236258566
2017-04-10,-0.0006593007470717529
2017-04-11,-0.0015989396033065976
2017-04-12,0.0006802742813191249
2017-04-13,-0.0017466248990004492
2017-04-18,0.0014678593129810714
2017-04-19,-0.0012143304436598801
2017-04-20,0.00010272794476220244
2017-04-21,0.0002727516112268516
2017-04-24,0.0017778238235423042
2017-04-25,-0.0032848142151814625
2017-04-26,-0.00022647213938707753
2017-04-27,0.0035065304745618966
2017-04-28,-0.0007354993368673573
2017-05-02,-0.0002886897450359281
2017-05-03,0.0007951198082987183
2017-05-04,-0.0007971394278230531
2017-05-05,0.0002783579489224805
2017-05-08,-0.0005487233824225961
2017-05-09,-0.001071483526637935
2017-05-10,0.0013422294056221681
2017-05-11,-0.0018455310825418215
2017-05-12,0.002648065439544443
2017-05-15,-0.0017120253547953425
2017-05-16,-8.236683838601247e-05
2017-05-17,0.001542832599192114
2017-05-18,0.0011131373914851218
2017-05-19,0.0007464514709717586
2017-05-22,-0.002607514682892518
2017-05-23,0.00024125349949532987
2017-05-24,0.0002329034825500634
2017-05-25,0.002241023540258255
2017-05-26,0.0024236742999786468
2017-05-30,0.0012990883587271553
2017-05-31,-0.0009838926168062516
2017-06-01,-0.001026687650565808
2017-06-02,0.0025255158357895087
2017-06-05,-0.0005699154426959852
2017-06-06,0.0018705669512017607
2017-06-07,-0.0011286933152183474
2017-06-08,0.003062509305431331
2017-06-09,0.0027661610980049822
2017-06-12,0.0010774001942095322
2017-06-13,0.0007664384325487329
2017-06-14,0.0023203934552813283
2017-06-15,-0.00427234674342234
2017-06-16,0.0008120066562397356
2017-06-19,0.0008741107042912874
2017-06-20,0.002624068435376673
2017-06-21,3.197154402970225e-05
2017-06-22,0.00014104588081914515
2017-06-23,-0.00024178673479080342
2017-06-27,-0.008217581621926191
2017-06-28,-0.0008800944725484575
2017-06-29,-0.008225594409903883
2017-06-30,-0.0011891695742578786
2017-07-03,0.0005836419189993085
2017-07-04,-7.561036390221892e-05
2017-07-05,0.0010667806409240068
2017-07-06,-0.0008203429631908336
2017-07-07,-0.009111817229991992
2017-07-10,0.00281103634172765
2017-07-11,-0.000422547603038784
2017-07-12,0.0013989882925615179
2017-07-13,0.00048739346440470466
2017-07-14,1.3627100678977088e-05
2017-07-17,-0.00033871887812094185
2017-07-18,0.003956320852162151
2017-07-19,0.0006928134405638243
2017-07-20,-0.00015558163352811326
2017-07-21,-0.001305173238707217
2017-07-24,0.004242386461431117
2017-07-25,0.000454877118688794
2017-07-26,-0.00026255667004398834
2017-07-27,-0.0015472693457724122
2017-07-28,-0.0006668214757984451
2017-07-31,-0.0003419022629138379
2017-08-01,0.003981792407934833
2017-08-02,-0.0008711167816409793
2017-08-03,-0.0001594908962371621
2017-08-04,0.0010438167675248166
2017-08-07,0.0013402467949708533
2017-08-08,-0.0002924104817277779
2017-08-09,0.0013218458385615345
2017-08-10,-0.0014149609344948672
2017-08-11,-0.0015145769351103903
2017-08-14,0.002063263604245163
2017-08-15,0.0005900111768466966
2017-08-16,0.0006324301344828192
2017-08-17,-0.0008185936849968455
2017-08-18,-1.8863876722946092e-05
2017-08-21,-0.001542720806785703
2017-08-22,-8.359031669793863e-05
2017-08-23,0.00013052805391372205
2017-08-24,-0.0011047383422158705
2017-08-25,-0.00016652906217300747
2017-08-29,-0.0026628091962278195
2017-08-30,0.002068021177765658
2017-08-31,0.0022635318702743596
2017-09-01,-0.00010207848409645758
2017-09-04,0.0002742445427204791
2017-09-05,0.002103553763441534
2017-09-06,-0.001430339979968598
2017-09-07,0.00031226982447809496
2017-09-08,-0.0006905167764468881
2017-09-11,0.0014597523434983423
2017-09-12,0.0006252859396841981
2017-09-13,0.0001579401633057651
2017-09-14,0.0008609911645609583
2017-09-15,-0.0010523081978448252
2017-09-18,-0.00329659510367232
2017-09-19,0.0006965599860461032
2017-09-20,-0.00019049449775600022
2017-09-21,0.0008446012555228499
2017-09-22,-0.0022977536879361144
2017-09-25,0.0031508063774239054
2017-09-26,0.0014356305541509292
2017-09-27,0.0007429627990803967
2017-09-28,-0.002066238577374869
2017-09-29,-0.0001417483897269542
2017-10-02,0.0006654385439969555
2017-10-03,0.0009828636604978303
2017-10-04,-0.0020690208362546154
2017-10-05,0.0017854241900483365
2017-10-06,0.0002862914785744362
2017-10-09,-1.5988006590148712e-06
2017-10-10,0.0011097409911056877
2017-10-11,-0.0016012686693389873
2017-10-12,-0.000883820009344964
2017-10-13,0.0061583345011061545
2017-10-16,0.002956274097391083
2017-10-17,0.000134250522249096
2017-10-18,-0.0015766187341681721
2017-10-19,-0.0013895011845367101
2017-10-20,-0.0016822288030974315
2017-10-23,0.00403462671484188
2017-10-24,-0.0024582662819227644
2017-10-25,-0.002684459624372147
2017-10-26,0.004057175676116697
2017-10-27,0.008781765422652214
2017-10-30,0.0028598952699426783
2017-10-31,-0.0002512611509966194
2017-11-01,0.0020182200734075216
2017-11-02,-0.00033239172788030553
2017-11-03,0.0013098033582471392
2017-11-06,0.0025356646668127487
2017-11-07,0.003381021410985994
2017-11-08,0.0009415866182404537
2017-11-09,-0.006330560986605979
2017-11-10,-0.004378975616609878
2017-11-13,-0.0007236714756573678
2017-11-14,-0.0022730709726364543
2017-11-15,-0.0037026844371409466
2017-11-16,0.0033013718791121043
2017-11-17,0.00034670426473241555
2017-11-20,0.002848400575017491
2017-11-21,0.002890084366803075
2017-11-22,-9.992179279829749e-05
2017-11-23,-0.0021271067599777684
2017-11-24,-0.0028052813115300866
2017-11-27,-0.0009183296833645423
2017-11-28,0.0016947720456023793
2017-11-29,-0.00021934093348887886
2017-11-30,-0.0006862124655357333
2017-12-01,0.0011798382892481832
2017-12-04,-0.0010946853677560985
2017-12-05,0.0014094131390849115
2017-12-06,0.0008111884650835793
2017-12-07,0.002807151083610357
2017-12-08,0.0006454542093536797
2017-12-11,0.0005375819605024306
2017-12-12,-6.81569869607501e-05
2017-12-13,-0.00026282079489400764
2017-12-14,-0.0027597983961199887
2017-12-15,0.0021725109411606536
2017-12-18,0.0026647112840052466
2017-12-19,-0.004341778540103967
2017-12-20,-0.0027955431702412154
2017-12-21,-0.0035279495241739914
2017-12-22,0.0010519736774942403
2017-12-27,0.0009647516219164645
2017-12-28,-0.003221750164144925
2017-12-29,-0.002787694610497662
2018-01-02,-0.0018019136226334294
2018-01-03,0.0012399540968024458
2018-01-04,0.003481549764313458
2018-01-05,0.0007862621364635587
2018-01-08,0.002426585353967633
2018-01-09,-0.0007351554631228482
2018-01-10,-0.0016581794958159817
2018-01-11,-0.002872362689047207
2018-01-12,0.002550633559020953
2018-01-15,-0.002982261879420212
2018-01-16,0.0018282999107068045
2018-01-17,-8.78005860702016e-05
2018-01-18,0.0007660639772997148
2018-01-19,0.0011077254795219447
2018-01-22,0.0018638458433408096
2018-01-23,0.001770384435298777
2018-01-24,-0.0024213180621025805
2018-01-25,-0.0034715125166343746
2018-01-26,0.0001376134697820175
2018-01-29,-0.0034535822986067727
2018-01-30,-0.0021626141314513635
2018-01-31,-0.0007834695162285634
2018-02-01,0.0002614643393399257
2018-02-02,-0.005897558859070491
2018-02-05,-0.0010888394779870862
2018-02-06,-0.0021727474883786483
2018-02-07,0.0037006747368390075
2018-02-08,-0.005970242739084016
2018-02-09,-0.0026643023633311593
2018-02-12,0.00277728171167337
2018-02-13,-0.0009562605485167309
2018-02-14,-0.0003998498534804448
2018-02-15,0.0013134653436155882
2018-02-16,0.0024370243338146347
2018-02-19,0.0007944329019458182
2018-02-20,0.00044059020341192834
2018-02-21,0.0014549119626442253
2018-02-22,-3.7425665212471534e-05
2018-02-23,0.0020914572835092076
2018-02-26,0.0033824633028873095
2018-02-27,-0.0010619883341908437
2018-02-28,0.0007675936811027291
2018-03-01,0.00021533363604732403
2018-03-02,-0.00530708421747586
2018-03-05,0.002400412884702386
2018-03-06,-0.0007691331611586827
2018-03-07,-0.000979372691343863
2018-03-08,0.001463659666302426
2018-03-09,0.005445611573194677
2018-03-12,0.002121429128152937
2018-03-13,-0.0004825430677542578
2018-03-14,-0.0010334187550345084
2018-03-15,0.002603811347541925
2018-03-16,0.0008332569052169139
2018-03-19,-0.0017905849170921076
2018-03-20,0.0010492709985750917
2018-03-21,0.0006096165885846024
2018-03-22,-0.00026373408295225645
2018-03-23,-0.002381846052655244
2018-03-26,-0.0015169217948551826
2018-03-27,0.0028513612761464305
2018-03-28,-0.0019536885300240965
2018-03-29,0.0072117031992398
2018-04-03,-0.0015676187022854774
2018-04-04,0.0005837996761124133
2018-04-05,0.0014007626847521103
2018-04-06,8.002561429563666e-05
2018-04-09,0.00031354272167744603
2018-04-10,-0.0010886454614359347
2018-04-11,0.00031051388606609083
2018-04-12,-0.0004976514859733861
2018-04-13,0.0004973043030213599
2018-04-16,-0.00047739433597432753
2018-04-17,0.0007628995329334578
2018-04-18,0.00047964733435319615
2018-04-19,-0.0032421050042167206
2018-04-20,0.0005161792595693158
2018-04-23,-0.0016850215735090706
2018-04-24,0.00029400857396058073
2018-04-25,-0.0010185126897761438
2018-04-26,0.0009979174923885577
2018-04-27,0.0053297931770546906
2018-04-30,-0.0011919087212296149
2018-05-02,-0.0006573938936801511
2018-05-03,0.0035282548499558602
2018-05-04,-0.001619515742948537
2018-05-08,-0.0014113520362196033
2018-05-09,0.000688239760725326
2018-05-10,0.00114330064601587
2018-05-11,-0.0006272466923468968
2018-05-14,-0.000223104906376685
2018-05-15,-0.004780953788760976
2018-05-16,0.0006420103142996876
2018-05-17,0.0004860369473905669
2018-05-18,-1.0087671776486205e-05
2018-05-21,0.0007250488322916756
2018-05-22,-0.00011903021732388701
2018-05-23,-0.003404472679098553
2018-05-24,0.0025219718512780077
2018-05-25,0.0001563618944715862
2018-05-29,-0.008728875199070934
2018-05-30,0.0009286889776487943
2018-05-31,0.00381746875369585
2018-06-01,-0.00012891943439474805
2018-06-04,0.0034628887066115947
2018-06-05,-0.0023646307588097177
2018-06-06,-0.007862042954726822
2018-06-07,-0.001559036784620352
2018-06-08,-0.0008757078035706309
2018-06-11,0.0030782975566257436
2018-06-12,-7.132369443130641e-05
2018-06-13,0.0002434004102645972
2018-06-14,-0.00030638593143048466
2018-06-15,0.012137868120473844
2018-06-18,0.0010400805403453796
2018-06-19,0.0005949544501351211
2018-06-20,-0.0006942077938135187
2018-06-21,-0.0007717903735154897
2018-06-22,-0.0011930998533562832
2018-06-25,-0.001754768678426852
2018-06-26,-0.003570797653758568
2018-06-27,0.004162288742547762
2018-06-28,-4.027828986565539e-05
2018-06-29,0.0031401416794416695
2018-07-02,-0.00020142344549082235
2018-07-03,0.0011949146339744216
2018-07-04,-0.0007408736198310115
2018-07-05,-0.00034217271952087145
2018-07-06,0.0005439978028492715
2018-07-09,0.0009280143166359766
2018-07-10,-0.00027728774307935475
2018-07-11,-0.0013211191187507921
2018-07-12,0.0006563539619350715
2018-07-13,0.000787233003296709
2018-07-16,-0.0005042967662802076
2018-07-17,0.0005826186444696726
2018-07-18,0.004243037361098013
2018-07-19,0.0004870263291656383
2018-07-20,-0.000562879947266699
2018-07-23,-0.005823976111238966
2018-07-24,0.001077259439232797
2018-07-25,0.0012499605880244803
2018-07-26,-0.000355764271922006
2018-07-27,0.0011119021605246512
2018-07-30,-0.005089975638131849
2018-07-31,0.0010035001316540196
2018-08-01,-0.003515894959886966
2018-08-02,-0.0007954300217613608
2018-08-03,0.0026594873243977503
2018-08-06,0.001918006751517681
2018-08-07,9.203351246975027e-06
2018-08-08,-0.00033910969749203124
2018-08-09,-8.677173248668032e-05
2018-08-10,0.00014261337942431422
2018-08-13,-0.00023220770933087047
2018-08-14,0.00030570740923431723
2018-08-15,-0.0007981546395692155
2018-08-16,0.00035797454296363667
2018-08-17,0.0007539700836988201
2018-08-20,0.0022614069234878713
2018-08-21,-0.00014508209361236888
2018-08-22,-0.000287439352802131
2018-08-23,-0.00021288688489382043
2018-08-24,-0.0027047170273560455
2018-08-28,-0.0034011358410300247
2018-08-29,-0.0009149616824677754
2018-08-30,4.818444411494631e-07
2018-08-31,0.001274239520874542
2018-09-03,0.002021156888590958
2018-09-04,0.00014756485399379288
2018-09-05,-0.001392271662013764
2018-09-06,-0.0005905042829761649
2018-09-07,0.0008055105653727497
2018-09-10,0.0014112927992300467
2018-09-11,-0.00167420373664066
2018-09-12,0.0005967042482859098
2018-09-13,-0.0005446166057733621
2018-09-14,-0.001482437644436771
2018-09-17,0.001479441308500158
2018-09-18,0.0004030681873760112
2018-09-19,-0.0014773916686710398
2018-09-20,5.363666665423018e-05
2018-09-21,0.002215485400491623
2018-09-24,-0.0010959488043217746
2018-09-25,-0.0036705147609342975
2018-09-26,0.0018107813624816905
2018-09-27,-8.542340715460024e-06
2018-09-28,-0.000524027203081648
2018-10-01,-0.0023852907031311267
2018-10-02,0.0006573786659504274
2018-10-04,-0.005125404547502569
2018-10-05,-0.00294622025715182
2018-10-08,-0.0014791329216134181
2018-10-09,0.0008977888911663629
2018-10-10,-0.0015865214698304415
2018-10-11,-0.0019919266287405897
2018-10-12,0.0002828733434750906
2018-10-15,5.055241957074207e-05
2018-10-16,0.0032734862874295115
2018-10-17,0.00012079129630985498
2018-10-18,-0.0018256322985095983
2018-10-19,0.0007028917367992134
2018-10-22,0.0015618259514674185
2018-10-23,-0.00018223974181648546
2018-10-24,0.0010294577111259217
2018-10-25,0.0026179840882632212
2018-10-26,-0.0006849819922228139
2018-10-29,0.004106522194398807
2018-10-30,-0.0014782849750304818
2018-10-31,0.0013796004875926682
2018-11-01,0.0010480156266729377
2018-11-02,-0.00021596056713310574
2018-11-05,-0.00016071889699107502
2018-11-06,-0.00045325006520434435
2018-11-07,0.0007382732642141369
2018-11-08,-0.00020782153290441904
2018-11-09,-0.0010896012192762915
2018-11-12,0.00047772112375287184
2018-11-13,0.0009225390615522111
2018-11-14,-0.002068149001126176
2018-11-15,0.00259179655976255
2018-11-16,-0.001600983131453149
2018-11-19,-0.002852524859324722
2018-11-20,-0.001443418395789407
2018-11-21,0.004488634592038984
2018-11-22,-0.00027256026200599105
2018-11-23,0.0019237746265972971
2018-11-26,0.002866408248445438
2018-11-27,0.0005665077895456064
2018-11-28,0.0007135312217103086
2018-11-29,0.0030714780864858618
2018-11-30,-0.0006230267154819708
2018-12-03,0.002928836518288511
2018-12-04,0.0012390545973543277
2018-12-05,-0.00048665935040023396
2018-12-06,-0.0020455101128253393
2018-12-07,0.0007571505008990684
2018-12-10,-0.0010010017837346328
2018-12-11,0.0008895639387493182
2018-12-12,0.0012654773025580785
2018-12-13,-0.00030665956416047163
2018-12-14,-3.7763985525243184e-05
2018-12-17,0.000789512016639825
2018-12-18,-0.0007821561796366413
2018-12-19,0.0033290022976403964
2018-12-20,3.9800562045769726e-05
2018-12-21,-0.003002598305434806
2018-12-27,0.0014417357596055586
2018-12-28,0.000190076053784188
2019-01-02,0.004062226119710776
2019-01-03,-0.001046363578597029
2019-01-04,-0.0020255440334539395
2019-01-07,-0.0009333833768733233
2019-01-08,-0.0016720481347198173
2019-01-09,0.0023609904692344984
2019-01-10,-0.0004836300517045163
2019-01-11,0.0032482161290585073
2019-01-14,0.0014011937049169072
2019-01-15,0.001799260427783697
2019-01-16,0.0013095255004289851
2019-01-17,-0.0004989036984727926
2019-01-18,0.0007742346424514742
2019-01-21,-0.0005998341889186433
2019-01-22,-0.00025424382253107637
2019-01-23,0.0018247379625519655
2019-01-24,0.0006283725602236295
2019-01-25,0.004638078922541489
2019-01-28,-0.0016244432795645047
2019-01-29,0.00044026756882605206
2019-01-30,0.0007658817613903239
2019-01-31,0.0028307234126035328
2019-02-01,-0.0028636182139775363
2019-02-04,-0.0009709940322336001
2019-02-05,0.001095175904817956
2019-02-06,-5.347322245954748e-05
2019-02-07,-0.000533276791110802
2019-02-08,0.0007004216846854736
2019-02-11,0.00023963428138556217
2019-02-12,0.0007843726703125638
2019-02-13,-0.00022534382282704394
2019-02-14,0.002409016521523941
2019-02-15,0.00021645678714358416
2019-02-18,0.00040667718871806866
2019-02-19,-7.646396550065531e-05
2019-02-20,-0.0002199468338143556
2019-02-21,-0.0004886799511080672
2019-02-22,0.001265030514592924
2019-02-25,0.0011342616347792375
2019-02-26,-0.00023171813558011282
2019-02-27,-0.0022204895232744363
2019-02-28,-0.0011101688025685666
2019-03-01,-0.00012585410222230102
2019-03-04,0.0017871605634802441
2019-03-05,0.0006858582242077523
2019-03-06,0.004068504956605155
2019-03-07,0.005709054887207033
2019-03-08,-3.156668279819571e-05
2019-03-11,-0.0004883954319100354
2019-03-12,0.000445135545525931
2019-03-13,-0.0010668565943668358
2019-03-14,-0.0001511051225103602
2019-03-15,0.0015270871327866644
2019-03-18,0.001908649962706053
2019-03-19,-0.0021340615122465998
2019-03-20,0.00010459499007573419
2019-03-21,0.0038575737415399093
2019-03-22,0.0025529497070428415
2019-03-25,-0.0007045937765135012
2019-03-26,0.0005218208624707494
2019-03-27,0.0042306566895581885
2019-03-28,-0.0013019272443579014
2019-03-29,0.00023062418415911116
2019-04-01,-0.0029448053510640047
2019-04-02,0.0015101002190819654
2019-04-03,0.000169356270429788
2019-04-04,-0.001093618663794092
2019-04-05,0.0002590466825518351
2019-04-08,0.00025526649935230395
2019-04-09,0.0006321263731063001
2019-04-10,0.001967729796810295
2019-04-11,-0.00041990410774520585
2019-04-12,-0.002987563201898369
2019-04-15,-0.0014123029973087814
2019-04-16,-4.3978768349444526e-05
2019-04-17,-0.0008525120744800931
2019-04-18,0.003177405771414244
2019-04-23,-0.0017000709988751492
2019-04-24,0.0031008408759730117
2019-04-25,-0.00034152078581282355
2019-04-26,0.0033271238710613034
2019-04-29,-0.000752343397247918
2019-04-30,-0.0003866591167877775
2019-05-02,-0.0008129315060114259
2019-05-03,0.0015884602800617076
2019-05-07,0.0002133639026361575
2019-05-08,-0.0006868682259605247
2019-05-09,-0.0033365526471762844
2019-05-10,0.00045121118483495656
2019-05-13,0.00011532046946617419
2019-05-14,0.0007119189773663714
2019-05-15,0.0016078504232370663
2019-05-16,0.0022083970375811296
2019-05-17,0.0011108272209904345
2019-05-20,-0.0021744475373304127
2019-05-21,0.00015440847938673403
2019-05-23,0.0007122019806964936
2019-05-24,0.003370649770876934
2019-05-28,0.0001718913987617574
2019-05-29,0.002135789209607914
2019-05-30,-0.000306389492328927
2019-05-31,0.0014205669018865752
2019-06-03,0.0012674517388361565
2019-06-04,0.0008876098840513277
2019-06-05,0.0021694867043085216
2019-06-06,0.0013442954597650129
2019-06-07,0.0036609441870755232
2019-06-11,-0.0007975465637196887
2019-06-12,-0.0019469899109491576
2019-06-13,0.0014139573522788814
2019-06-14,0.002270707399215413
2019-06-17,-6.633041983851207e-05
2019-06-18,0.008874654104245731
2019-06-19,-0.0022813619705175903
2019-06-20,0.0024561510834433726
2019-06-21,-0.0044096465479255146
2019-06-24,0.000445144460591187
2019-06-25,6.662230950122338e-05
2019-06-26,-0.00014210605549529678
2019-06-27,0.0004521819145938945
2019-06-28,0.0020766621749491476
2019-07-01,0.005319200569267771
2019-07-02,0.003031344621063955
2019-07-03,0.005470449521081512
2019-07-04,-0.0002834628896668767
2019-07-05,-0.004546226292342987
2019-07-08,-0.0008262308744542188
2019-07-09,-0.0009582761048190119
2019-07-10,-0.0014859884094795392
2019-07-11,-0.002372267067414181
2019-07-12,-0.002780935349441745
2019-07-15,0.0039641028672850655
2019-07-16,-0.00047698964514227514
2019-07-17,0.0037889060765305743
2019-07-18,-0.00016660815223198022
2019-07-19,0.001125566001859832
2019-07-22,0.00208429969645741
2019-07-23,0.0017458169177143922
2019-07-24,0.003472532080820108
2019-07-25,-0.0016551126429552067
2019-07-26,0.000572973627942761
2019-07-29,0.0017290353821368116
2019-07-30,-0.0028062210621826044
2019-07-31,0.00024592966351753614
2019-08-01,0.006665418671511044
2019-08-02,0.0017517611256409006
2019-08-05,-0.0016348513420624683
2019-08-06,-0.004235589938511817
2019-08-07,0.007003468884366935
2019-08-08,-0.0029541438967246245
2019-08-09,0.00010408969130033569
2019-08-12,-0.0003070605009716737
2019-08-13,0.001841735335102273
2019-08-14,0.0007617950779050054
2019-08-15,0.007398535555101139
2019-08-16,0.001783767119641563
2019-08-19,0.00018042406532885083
2019-08-20,0.0026404531750682143
2019-08-21,-0.000251935297504343
2019-08-22,-0.00283469269477048
2019-08-23,0.0017848401125349178
2019-08-27,0.003648293780796763
2019-08-28,0.002602779470905695
2019-08-29,-0.0003748435399125137
2019-08-30,0.0016334472376978758
2019-09-02,0.003919616212338942
2019-09-03,0.0026993199665287263
2019-09-04,-6.1102077059312e-05
