date,etf_id,isin,ticker,open,high,low,close,adjusted_close,volume,currency,source,download_date
04-01-16,ETF01,IE00B5BMR087,CSPX,187.8300018310547,188.05999755859375,184.97999572753906,185.4199981689453,185.4199981689453,286594,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
05-01-16,ETF01,IE00B5BMR087,CSPX,187.8300018310547,187.94000244140625,186.07000732421875,187.2899932861328,187.2899932861328,203943,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
06-01-16,ETF01,IE00B5BMR087,CSPX,186.32000732421875,187.2899932861328,184.13999938964844,186.03500366210938,186.03500366210938,395852,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
07-01-16,ETF01,IE00B5BMR087,CSPX,182.2100067138672,183.72000122070312,180.39439392089844,183.0500030517578,183.0500030517578,351432,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
08-01-16,ETF01,IE00B5BMR087,CSPX,182.39999389648438,183.35000610351562,179.97999572753906,179.97999572753906,179.97999572753906,301954,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
11-01-16,ETF01,IE00B5BMR087,CSPX,178.5399932861328,180.02000427246094,177.9499969482422,178.02999877929688,178.02999877929688,153363,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
12-01-16,ETF01,IE00B5BMR087,CSPX,178.0800018310547,181.03790283203125,177.7899932861328,178.94000244140625,178.94000244140625,189081,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
13-01-16,ETF01,IE00B5BMR087,CSPX,181.05999755859375,181.7100067138672,179.63999938964844,180.1999969482422,180.1999969482422,265297,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
14-01-16,ETF01,IE00B5BMR087,CSPX,177.1300048828125,178.19000244140625,174.8800048828125,177.3249969482422,177.3249969482422,67150,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
15-01-16,ETF01,IE00B5BMR087,CSPX,177.25999450683594,177.41000366210938,172.38999938964844,174.75999450683594,174.75999450683594,130994,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
18-01-16,ETF01,IE00B5BMR087,CSPX,174.94000244140625,176.24000549316406,174.47999572753906,174.77000427246094,174.77000427246094,106387,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
19-01-16,ETF01,IE00B5BMR087,CSPX,177.49000549316406,178,174.77000427246094,175.9600067138672,175.9600067138672,96767,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
20-01-16,ETF01,IE00B5BMR087,CSPX,172.10000610351562,172.9199981689453,169.77000427246094,170.43499755859375,170.43499755859375,218379,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
21-01-16,ETF01,IE00B5BMR087,CSPX,172.36000061035156,174.97329711914062,170.09500122070312,174.3000030517578,174.3000030517578,249445,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
22-01-16,ETF01,IE00B5BMR087,CSPX,175.88999938964844,177.41000366210938,173.8643035888672,176.60499572753906,176.60499572753906,177866,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
25-01-16,ETF01,IE00B5BMR087,CSPX,177.35000610351562,177.35000610351562,175.80999755859375,176.2899932861328,176.2899932861328,188253,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
26-01-16,ETF01,IE00B5BMR087,CSPX,173.4199981689453,176.75999450683594,173.10000610351562,176.32000732421875,176.32000732421875,164288,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
27-01-16,ETF01,IE00B5BMR087,CSPX,176.07000732421875,177.4499969482422,175.6199951171875,177.1699981689453,177.1699981689453,64199,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
28-01-16,ETF01,IE00B5BMR087,CSPX,176.27000427246094,177.38999938964844,174.07000732421875,175.25999450683594,175.25999450683594,658321,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
29-01-16,ETF01,IE00B5BMR087,CSPX,177.8300018310547,178.3800048828125,175.25999450683594,178.2100067138672,178.2100067138672,452393,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
01-02-16,ETF01,IE00B5BMR087,CSPX,179.94000244140625,179.94000244140625,178.44000244140625,179.75999450683594,179.75999450683594,217156,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
02-02-16,ETF01,IE00B5BMR087,CSPX,179.57000732421875,179.60000610351562,177.61000061035156,178.24000549316406,178.24000549316406,187169,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
03-02-16,ETF01,IE00B5BMR087,CSPX,177.7100067138672,178.41000366210938,174.74000549316406,175.77000427246094,175.77000427246094,250416,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
04-02-16,ETF01,IE00B5BMR087,CSPX,179.1300048828125,179.32000732421875,176.66000366210938,177.8000030517578,177.8000030517578,102893,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
05-02-16,ETF01,IE00B5BMR087,CSPX,177.7100067138672,178.69000244140625,175.11000061035156,175.49000549316406,175.49000549316406,140291,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
08-02-16,ETF01,IE00B5BMR087,CSPX,175.8000030517578,175.94000244140625,170.64999389648438,171.27999877929688,171.27999877929688,188144,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
09-02-16,ETF01,IE00B5BMR087,CSPX,172.4199981689453,173.36000061035156,170.63999938964844,172.52000427246094,172.52000427246094,410364,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
10-02-16,ETF01,IE00B5BMR087,CSPX,173.05999755859375,175.2899932861328,172.4512939453125,173.64500427246094,173.64500427246094,421143,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
11-02-16,ETF01,IE00B5BMR087,CSPX,171.57000732421875,171.64999389648438,168.47999572753906,169.1750030517578,169.1750030517578,236245,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
12-02-16,ETF01,IE00B5BMR087,CSPX,171.3699951171875,173.08999633789062,171.22000122070312,172.9949951171875,172.9949951171875,337066,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
15-02-16,ETF01,IE00B5BMR087,CSPX,175.39999389648438,176.40220642089844,175.1300048828125,175.8249969482422,175.8249969482422,74505,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
16-02-16,ETF01,IE00B5BMR087,CSPX,176.5399932861328,176.5800018310547,174.77000427246094,175.13499450683594,175.13499450683594,414290,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
17-02-16,ETF01,IE00B5BMR087,CSPX,175.92999267578125,179.3699951171875,175.88999938964844,179.3699951171875,179.3699951171875,107784,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
18-02-16,ETF01,IE00B5BMR087,CSPX,179.9499969482422,180.48660278320312,178.6300048828125,178.88999938964844,178.88999938964844,219134,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
19-02-16,ETF01,IE00B5BMR087,CSPX,178.9600067138672,179.52000427246094,177.3300018310547,178.77000427246094,178.77000427246094,134323,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
22-02-16,ETF01,IE00B5BMR087,CSPX,180.3300018310547,181.39999389648438,180.27000427246094,181.06500244140625,181.06500244140625,281475,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
23-02-16,ETF01,IE00B5BMR087,CSPX,180.27999877929688,180.83999633789062,179.22999572753906,179.35000610351562,179.35000610351562,159306,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
24-02-16,ETF01,IE00B5BMR087,CSPX,179,179.2100067138672,176.49000549316406,176.7449951171875,176.7449951171875,151936,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
25-02-16,ETF01,IE00B5BMR087,CSPX,179.8000030517578,180.71359252929688,176.7449951171875,180.22000122070312,180.22000122070312,77942,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
26-02-16,ETF01,IE00B5BMR087,CSPX,182.83999633789062,183.8699951171875,180,182.22500610351562,182.22500610351562,92899,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
29-02-16,ETF01,IE00B5BMR087,CSPX,180.19000244140625,182.1999969482422,180,182.1999969482422,182.1999969482422,67738,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
01-03-16,ETF01,IE00B5BMR087,CSPX,180.60000610351562,183.10000610351562,180.60000610351562,183.10000610351562,183.10000610351562,63842,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
02-03-16,ETF01,IE00B5BMR087,CSPX,184.6199951171875,184.97999572753906,183.6999969482422,184.5449981689453,184.5449981689453,101570,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
03-03-16,ETF01,IE00B5BMR087,CSPX,185.17999267578125,185.44000244140625,184.5,184.5,184.5,105856,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
04-03-16,ETF01,IE00B5BMR087,CSPX,185.89999389648438,187.02000427246094,185.4199981689453,186.8000030517578,186.8000030517578,78658,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
07-03-16,ETF01,IE00B5BMR087,CSPX,185.89999389648438,186.60000610351562,185.39999389648438,186.60000610351562,186.60000610351562,84243,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
08-03-16,ETF01,IE00B5BMR087,CSPX,185.52999877929688,186.14999389648438,184.6699981689453,185.2550048828125,185.2550048828125,142190,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
09-03-16,ETF01,IE00B5BMR087,CSPX,185.3000030517578,186.0500030517578,184.82000732421875,185.60000610351562,185.60000610351562,74806,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
10-03-16,ETF01,IE00B5BMR087,CSPX,185.6699981689453,187.39999389648438,184.36000061035156,184.36000061035156,184.36000061035156,153030,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
11-03-16,ETF01,IE00B5BMR087,CSPX,187.3000030517578,188.22000122070312,187.11000061035156,188.22000122070312,188.22000122070312,44737,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
14-03-16,ETF01,IE00B5BMR087,CSPX,188.39999389648438,188.7633056640625,187.9600067138672,188.50999450683594,188.50999450683594,213251,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
15-03-16,ETF01,IE00B5BMR087,CSPX,187.72000122070312,188.53390502929688,187.2100067138672,187.6999969482422,187.6999969482422,580875,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
16-03-16,ETF01,IE00B5BMR087,CSPX,188.39999389648438,188.5800018310547,187.44000244140625,188.3000030517578,188.3000030517578,275591,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
17-03-16,ETF01,IE00B5BMR087,CSPX,189.97000122070312,190.39999389648438,188.16000366210938,190.39999389648438,190.39999389648438,172199,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
18-03-16,ETF01,IE00B5BMR087,CSPX,190.5,191.57000732421875,190.2100067138672,191.25999450683594,191.25999450683594,392942,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
21-03-16,ETF01,IE00B5BMR087,CSPX,190.5,191.64999389648438,190.47999572753906,191.24000549316406,191.24000549316406,100815,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
22-03-16,ETF01,IE00B5BMR087,CSPX,190.8000030517578,191.61000061035156,190.3800048828125,191.60000610351562,191.60000610351562,133199,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
23-03-16,ETF01,IE00B5BMR087,CSPX,191.50999450683594,191.77999877929688,190.32000732421875,190.82000732421875,190.82000732421875,98409,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
24-03-16,ETF01,IE00B5BMR087,CSPX,189.75,189.92999267578125,188.77999877929688,189.24000549316406,189.24000549316406,122110,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
29-03-16,ETF01,IE00B5BMR087,CSPX,189.17999267578125,190.64999389648438,189.17999267578125,189.9499969482422,189.9499969482422,77122,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
30-03-16,ETF01,IE00B5BMR087,CSPX,192.3000030517578,193.47999572753906,192.22000122070312,192.9499969482422,192.9499969482422,55229,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
31-03-16,ETF01,IE00B5BMR087,CSPX,192.39999389648438,193,192.00999450683594,192.75999450683594,192.75999450683594,172130,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
01-04-16,ETF01,IE00B5BMR087,CSPX,191.7899932861328,192.64999389648438,190.91000366210938,192.64999389648438,192.64999389648438,282260,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
04-04-16,ETF01,IE00B5BMR087,CSPX,193.58999633789062,194.1999969482422,193.00999450683594,193.1999969482422,193.1999969482422,65543,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
05-04-16,ETF01,IE00B5BMR087,CSPX,191.91000366210938,192.08999633789062,190.91000366210938,191.3800048828125,191.3800048828125,209389,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
06-04-16,ETF01,IE00B5BMR087,CSPX,191.86000061035156,192.1699981689453,190.8300018310547,192.1699981689453,192.1699981689453,217267,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
07-04-16,ETF01,IE00B5BMR087,CSPX,193.00999450683594,193.0800018310547,190.97999572753906,191.1999969482422,191.1999969482422,148703,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
08-04-16,ETF01,IE00B5BMR087,CSPX,191.63999938964844,192.4499969482422,191.55999755859375,191.86500549316406,191.86500549316406,279276,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
11-04-16,ETF01,IE00B5BMR087,CSPX,191.17999267578125,192.7100067138672,190.7100067138672,191.89999389648438,191.89999389648438,186645,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
12-04-16,ETF01,IE00B5BMR087,CSPX,191.16000366210938,192.3000030517578,190.60000610351562,192.25,192.25,184574,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
13-04-16,ETF01,IE00B5BMR087,CSPX,193.08999633789062,194.1300048828125,193.0500030517578,194.0850067138672,194.0850067138672,108677,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
14-04-16,ETF01,IE00B5BMR087,CSPX,194.1999969482422,194.88999938964844,194.00999450683594,194.83999633789062,194.83999633789062,136536,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
15-04-16,ETF01,IE00B5BMR087,CSPX,194.55999755859375,194.60000610351562,194.19000244140625,194.5,194.5,117205,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
18-04-16,ETF01,IE00B5BMR087,CSPX,193.11000061035156,195.33999633789062,193.07000732421875,195.22999572753906,195.22999572753906,156873,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
19-04-16,ETF01,IE00B5BMR087,CSPX,195.99000549316406,196.63999938964844,195.99000549316406,196.22000122070312,196.22000122070312,72028,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
20-04-16,ETF01,IE00B5BMR087,CSPX,195.77999877929688,196.77999877929688,195.5399932861328,196.72999572753906,196.72999572753906,85015,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
21-04-16,ETF01,IE00B5BMR087,CSPX,196.8699951171875,197.02000427246094,195.94000244140625,196.1699981689453,196.1699981689453,166895,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
22-04-16,ETF01,IE00B5BMR087,CSPX,195.6199951171875,195.63999938964844,194.5399932861328,194.89999389648438,194.89999389648438,323871,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
25-04-16,ETF01,IE00B5BMR087,CSPX,195.32000732421875,195.42999267578125,194.2100067138672,194.5399932861328,194.5399932861328,64934,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
26-04-16,ETF01,IE00B5BMR087,CSPX,195.38999938964844,195.9600067138672,195.19000244140625,195.25,195.25,36275,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
27-04-16,ETF01,IE00B5BMR087,CSPX,195.47000122070312,195.47000122070312,194.6999969482422,195.2899932861328,195.2899932861328,136930,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
28-04-16,ETF01,IE00B5BMR087,CSPX,194.52000427246094,196.10000610351562,194.0800018310547,196.0800018310547,196.0800018310547,83305,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
29-04-16,ETF01,IE00B5BMR087,CSPX,194.25999450683594,194.4499969482422,192.13999938964844,192.13999938964844,192.13999938964844,91976,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
03-05-16,ETF01,IE00B5BMR087,CSPX,194.22000122070312,194.24000549316406,192.19000244140625,192.17999267578125,192.17999267578125,97923,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
04-05-16,ETF01,IE00B5BMR087,CSPX,192.47000122070312,192.8800048828125,191.44000244140625,191.47000122070312,191.47000122070312,158399,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
05-05-16,ETF01,IE00B5BMR087,CSPX,192.5399932861328,192.8000030517578,191.73910522460938,192.08999633789062,192.08999633789062,70885,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
06-05-16,ETF01,IE00B5BMR087,CSPX,191.38999938964844,191.80999755859375,190.44000244140625,191.39999389648438,191.39999389648438,208789,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
09-05-16,ETF01,IE00B5BMR087,CSPX,192.69000244140625,193.02000427246094,192.14999389648438,192.22999572753906,192.22999572753906,78038,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
10-05-16,ETF01,IE00B5BMR087,CSPX,193.42999267578125,194.32000732421875,192.22999572753906,194.0850067138672,194.0850067138672,94828,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
11-05-16,ETF01,IE00B5BMR087,CSPX,194.4600067138672,194.91749572753906,194.08999633789062,194.22999572753906,194.22999572753906,346327,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
12-05-16,ETF01,IE00B5BMR087,CSPX,193.13999938964844,194.25,192.32000732421875,192.49000549316406,192.49000549316406,187938,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
13-05-16,ETF01,IE00B5BMR087,CSPX,192.00999450683594,193.4250030517578,192.00999450683594,193.24000549316406,193.24000549316406,92346,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
16-05-16,ETF01,IE00B5BMR087,CSPX,191.72000122070312,192.91000366210938,191.52000427246094,192.90499877929688,192.90499877929688,79393,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
17-05-16,ETF01,IE00B5BMR087,CSPX,193.61000061035156,193.9199981689453,192.47999572753906,192.69500732421875,192.69500732421875,93041,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
18-05-16,ETF01,IE00B5BMR087,CSPX,191.55999755859375,192.25,190.80999755859375,192.08999633789062,192.08999633789062,61245,USD,Yahoo Finance via yfinance (CSPX.L),17-04-26
