Date,close
2016-01-04,1.3574999570846558
2016-01-05,1.3589999675750732
2016-01-06,1.3645999431610107
2016-01-07,1.357300043106079
2016-01-08,1.3385000228881836
2016-01-11,1.3273999691009521
2016-01-12,1.339400053024292
2016-01-13,1.3312000036239624
2016-01-14,1.3234000205993652
2016-01-15,1.3282999992370605
2016-01-18,1.3069000244140625
2016-01-19,1.3079999685287476
2016-01-20,1.2994999885559082
2016-01-21,1.305299997329712
2016-01-22,1.3098000288009644
2016-01-25,1.320199966430664
2016-01-26,1.3121999502182007
2016-01-27,1.320080041885376
2016-01-28,1.3062000274658203
2016-01-29,1.3128999471664429
2016-02-01,1.315600037574768
2016-02-02,1.323799967765808
2016-02-03,1.3193000555038452
2016-02-04,1.3148000240325928
2016-02-05,1.301800012588501
2016-02-08,1.3017499446868896
2016-02-09,1.2898999452590942
2016-02-10,1.2812000513076782
2016-02-11,1.2872999906539917
2016-02-12,1.2791999578475952
2016-02-15,1.2932000160217285
2016-02-16,1.2928999662399292
2016-02-17,1.2833000421524048
2016-02-18,1.2839000225067139
2016-02-19,1.2898999452590942
2016-02-22,1.2821999788284302
2016-02-23,1.2829999923706055
2016-02-24,1.270799994468689
2016-02-25,1.2645000219345093
2016-02-26,1.2666000127792358
2016-02-29,1.2689000368118286
2016-03-01,1.2791999578475952
2016-03-02,1.2838000059127808
2016-03-03,1.295199990272522
2016-03-04,1.2943999767303467
2016-03-07,1.2926000356674194
2016-03-08,1.2943999767303467
2016-03-09,1.2908999919891357
2016-03-10,1.2928999662399292
2016-03-11,1.2782000303268433
2016-03-14,1.287600040435791
2016-03-15,1.2862000465393066
2016-03-16,1.2742999792099
2016-03-17,1.2704999446868896
2016-03-18,1.278980016708374
2016-03-21,1.2826000452041626
2016-03-22,1.2785999774932861
2016-03-23,1.2674000263214111
2016-03-24,1.2625999450683594
2016-03-25,1.265030026435852
2016-03-28,1.2661000490188599
2016-03-29,1.2728999853134155
2016-03-30,1.273900032043457
2016-03-31,1.267899990081787
2016-04-01,1.2623000144958496
2016-04-04,1.2482000589370728
2016-04-05,1.2524000406265259
2016-04-06,1.2436000108718872
2016-04-07,1.239400029182434
2016-04-08,1.2359000444412231
2016-04-11,1.238700032234192
2016-04-12,1.2469600439071655
2016-04-13,1.253000020980835
2016-04-14,1.2581000328063965
2016-04-15,1.2549999952316284
2016-04-18,1.2546000480651855
2016-04-19,1.2633399963378906
2016-04-20,1.2666000127792358
2016-04-21,1.268399953842163
2016-04-22,1.2683000564575195
2016-04-25,1.285640001296997
2016-04-26,1.285599946975708
2016-04-27,1.2900999784469604
2016-04-28,1.2832599878311157
2016-04-29,1.2862999439239502
2016-05-02,1.2736999988555908
2016-05-03,1.2721600532531738
2016-05-04,1.2647199630737305
2016-05-05,1.2619999647140503
2016-05-06,1.2706199884414673
2016-05-09,1.266759991645813
2016-05-10,1.2657099962234497
2016-05-11,1.2702399492263794
2016-05-12,1.263100028038025
2016-05-13,1.2696499824523926
2016-05-16,1.2676000595092773
2016-05-17,1.276610016822815
2016-05-18,1.277269959449768
2016-05-19,1.3001999855041504
2016-05-20,1.3026800155639648
2016-05-23,1.2910000085830688
2016-05-24,1.2911200523376465
2016-05-25,1.31181001663208
2016-05-26,1.3170599937438965
2016-05-27,1.309999942779541
2016-05-30,1.3162399530410767
2016-05-31,1.312250018119812
2016-06-01,1.3003100156784058
2016-06-02,1.2885600328445435
2016-06-03,1.2915500402450562
2016-06-06,1.2670300006866455
2016-06-07,1.2721600532531738
2016-06-08,1.28016996383667
2016-06-09,1.2727400064468384
2016-06-10,1.2781399488449097
2016-06-13,1.2621400356292725
2016-06-14,1.2581100463867188
2016-06-15,1.2594300508499146
2016-06-16,1.2602100372314453
2016-06-17,1.269670009613037
2016-06-20,1.2847900390625
2016-06-21,1.2957500219345093
2016-06-22,1.3036799430847168
2016-06-23,1.3051999807357788
2016-06-24,1.2844300270080566
2016-06-27,1.2178800106048584
2016-06-28,1.2012100219726562
2016-06-29,1.2052099704742432
2016-06-30,1.2101000547409058
2016-07-01,1.1994999647140503
2016-07-04,1.1931999921798706
2016-07-05,1.1913000345230103
2016-07-06,1.1707600355148315
2016-07-07,1.1642500162124634
2016-07-08,1.1668100357055664
2016-07-11,1.1718599796295166
2016-07-12,1.1735800504684448
2016-07-13,1.2001500129699707
2016-07-14,1.1820800304412842
2016-07-15,1.2021499872207642
2016-07-18,1.1964000463485718
2016-07-19,1.1981300115585327
2016-07-20,1.189769983291626
2016-07-21,1.2032999992370605
2016-07-22,1.2002999782562256
2016-07-25,1.1964600086212158
2016-07-26,1.192229986190796
2016-07-27,1.1965999603271484
2016-07-28,1.1954599618911743
2016-07-29,1.187019944190979
2016-08-01,1.1830799579620361
2016-08-02,1.1802899837493896
2016-08-03,1.1885199546813965
2016-08-04,1.1947699785232544
2016-08-05,1.1788899898529053
2016-08-08,1.1798800230026245
2016-08-09,1.1754300594329834
2016-08-10,1.1696300506591797
2016-08-11,1.1636500358581543
2016-08-12,1.1626499891281128
2016-08-15,1.1557999849319458
2016-08-16,1.1517000198364258
2016-08-17,1.1554499864578247
2016-08-18,1.1539000272750854
2016-08-19,1.159600019454956
2016-08-22,1.155500054359436
2016-08-23,1.1601999998092651
2016-08-24,1.1674000024795532
2016-08-25,1.1749999523162842
2016-08-26,1.1685999631881714
2016-08-29,1.1720000505447388
2016-08-30,1.1708999872207642
2016-08-31,1.173699975013733
2016-09-01,1.1766999959945679
2016-09-02,1.1850999593734741
2016-09-05,1.1912000179290771
2016-09-06,1.1934000253677368
2016-09-07,1.1926000118255615
2016-09-08,1.1865999698638916
2016-09-09,1.1806000471115112
2016-09-12,1.1805000305175781
2016-09-13,1.1862000226974487
2016-09-14,1.1756999492645264
2016-09-15,1.1792999505996704
2016-09-16,1.1778000593185425
2016-09-19,1.1661399602890015
2016-09-20,1.166599988937378
2016-09-21,1.163699984550476
2016-09-22,1.1647000312805176
2016-09-23,1.167099952697754
2016-09-26,1.1543999910354614
2016-09-27,1.1524699926376343
2016-09-28,1.1598000526428223
2016-09-29,1.1613999605178833
2016-09-30,1.1553000211715698
2016-10-03,1.1507999897003174
2016-10-04,1.1464999914169312
2016-10-05,1.1354999542236328
2016-10-06,1.1378999948501587
2016-10-07,1.1122499704360962
2016-10-10,1.1104999780654907
2016-10-11,1.1074999570846558
2016-10-12,1.1098999977111816
2016-10-13,1.1065000295639038
2016-10-14,1.1059999465942383
2016-10-17,1.1104999780654907
2016-10-18,1.1092900037765503
2016-10-19,1.1205999851226807
2016-10-20,1.1195000410079956
2016-10-21,1.1211999654769897
2016-10-24,1.1224000453948975
2016-10-25,1.1237000226974487
2016-10-26,1.1181999444961548
2016-10-27,1.1211999654769897
2016-10-28,1.1162999868392944
2016-10-31,1.1116000413894653
2016-11-01,1.11489999294281
2016-11-02,1.1066999435424805
2016-11-03,1.1085000038146973
2016-11-04,1.1229000091552734
2016-11-07,1.124899983406067
2016-11-08,1.1217000484466553
2016-11-09,1.1239999532699585
2016-11-10,1.1369999647140503
2016-11-11,1.1527999639511108
2016-11-14,1.1612000465393066
2016-11-15,1.1642999649047852
2016-11-16,1.1608999967575073
2016-11-17,1.1617000102996826
2016-11-18,1.1680999994277954
2016-11-21,1.164199948310852
2016-11-22,1.1740000247955322
2016-11-23,1.1680999994277954
2016-11-24,1.1787999868392944
2016-11-25,1.1787999868392944
2016-11-28,1.1760200262069702
2016-11-29,1.1680999994277954
2016-11-30,1.1727999448776245
2016-12-01,1.181399941444397
2016-12-02,1.1805000305175781
2016-12-05,1.1970000267028809
2016-12-06,1.183109998703003
2016-12-07,1.1818000078201294
2016-12-08,1.173449993133545
2016-12-09,1.1845099925994873
2016-12-12,1.194100022315979
2016-12-13,1.190999984741211
2016-12-14,1.1912000179290771
2016-12-15,1.1921000480651855
2016-12-16,1.192199945449829
2016-12-19,1.1950000524520874
2016-12-20,1.1902999877929688
2016-12-21,1.1895999908447266
2016-12-22,1.184399962425232
2016-12-23,1.176800012588501
2016-12-26,1.1751999855041504
2016-12-27,1.173799991607666
2016-12-28,1.1730999946594238
2016-12-29,1.1730999946594238
2016-12-30,1.1614999771118164
2017-01-02,1.1722999811172485
2017-01-03,1.173799991607666
2017-01-04,1.1750099658966064
2017-01-05,1.173609972000122
2017-01-06,1.1710000038146973
2017-01-09,1.1638000011444092
2017-01-10,1.1494799852371216
2017-01-11,1.1531000137329102
2017-01-12,1.152500033378601
2017-01-13,1.1456999778747559
2017-01-16,1.1325199604034424
2017-01-17,1.1354299783706665
2017-01-18,1.15802001953125
2017-01-19,1.1533900499343872
2017-01-20,1.1572799682617188
2017-01-23,1.1560399532318115
2017-01-24,1.1632399559020996
2017-01-25,1.1680400371551514
2017-01-26,1.1749399900436401
2017-01-27,1.178920030593872
2017-01-30,1.1749999523162842
2017-01-31,1.1669800281524658
2017-02-01,1.1652599573135376
2017-02-02,1.1755000352859497
2017-02-03,1.1632399559020996
2017-02-06,1.1576299667358398
2017-02-07,1.1603699922561646
2017-02-08,1.1701500415802002
2017-02-09,1.17153000831604
2017-02-10,1.1725000143051147
2017-02-13,1.1754399538040161
2017-02-14,1.1814199686050415
2017-02-15,1.178670048713684
2017-02-16,1.175570011138916
2017-02-17,1.169800043106079
2017-02-20,1.169950008392334
2017-02-21,1.1754900217056274
2017-02-22,1.1844099760055542
2017-02-23,1.1801700592041016
2017-02-24,1.1861200332641602
2017-02-27,1.1747699975967407
2017-02-28,1.175089955329895
2017-03-01,1.1710799932479858
2017-03-02,1.164720058441162
2017-03-03,1.1680500507354736
2017-03-06,1.1576999425888062
2017-03-07,1.1569299697875977
2017-03-08,1.1545300483703613
2017-03-09,1.1542999744415283
2017-03-10,1.148959994316101
2017-03-13,1.1384799480438232
2017-03-14,1.1456999778747559
2017-03-15,1.1454700231552124
2017-03-16,1.1434999704360962
2017-03-17,1.1463700532913208
2017-03-20,1.1526700258255005
2017-03-21,1.1516000032424927
2017-03-22,1.154289960861206
2017-03-23,1.155869960784912
2017-03-24,1.1604000329971313
2017-03-27,1.1533000469207764
2017-03-28,1.1561199426651
2017-03-29,1.1481399536132812
2017-03-30,1.155900001525879
2017-03-31,1.1674400568008423
2017-04-03,1.1751699447631836
2017-04-04,1.1705000400543213
2017-04-05,1.164680004119873
2017-04-06,1.1699999570846558
2017-04-07,1.171239972114563
2017-04-10,1.1692999601364136
2017-04-11,1.172260046005249
2017-04-12,1.177109956741333
2017-04-13,1.1759999990463257
2017-04-14,1.1778000593185425
2017-04-17,1.1812299489974976
2017-04-18,1.1796000003814697
2017-04-19,1.1971299648284912
2017-04-20,1.19281005859375
2017-04-21,1.194659948348999
2017-04-24,1.1794300079345703
2017-04-25,1.1758500337600708
2017-04-26,1.1741100549697876
2017-04-27,1.1775200366973877
2017-04-28,1.186710000038147
2017-05-01,1.1855499744415283
2017-05-02,1.1821199655532837
2017-05-03,1.1830999851226807
2017-05-04,1.1820499897003174
2017-05-05,1.1769599914550781
2017-05-08,1.1823500394821167
2017-05-09,1.184380054473877
2017-05-10,1.1892900466918945
2017-05-11,1.1894999742507935
