strategy,CAGR,Ann_Volatility,Sharpe,Sortino,VaR_95,CVaR_95,Max_Drawdown
cvar_95,0.007561543361034095,0.05464742818497862,0.13784908906317975,0.19082578433428699,0.005400085952987592,0.00815638161741646,-0.20548723416251102
equal_weight,0.05739157396263583,0.10062903050767151,0.5545625936010673,0.7413149766132896,0.009490003147925474,0.015634971445858636,-0.22016301805382432
min_variance,0.0161181998498221,0.055891343152496234,0.2860851058944236,0.3923787657491304,0.005452171012711119,0.008391720110285045,-0.17128445470172227
