date,ETF01,ETF02,ETF03,ETF04,ETF05,ETF06
2017-01-05,0.08101792841948033,3.265036530133868e-11,0.025457831585030406,1.3038246748654882e-11,0.06660541542432796,0.8269188245254726
2017-02-03,0.14215840582731945,1.4304753100301727e-09,1.0124610814040424e-09,1.3086731686480005e-10,0.015858175356882175,0.8419834162419947
2017-03-06,0.14810104431845286,0.0033678139780995726,5.93357122270707e-10,5.656639559008404e-11,0.020336873406902153,0.828194267646622
2017-04-04,0.1503565391437786,0.0056691956250836326,7.082671284605377e-08,1.0551581579779013e-09,0.02754247323721152,0.8164317201120552
2017-05-08,0.14739154537930224,1.8004675978350927e-09,0.03610256281646845,2.2621570123633056e-10,0.030860079290057896,0.7856458104874882
2017-06-07,0.15326748201813276,0.011696673290348332,0.009383579282918214,9.485484651547355e-11,0.04918616237432379,0.7764661029394221
2017-07-07,0.1668810213046256,0.01380627858303146,7.162014506278135e-10,4.24486261439303e-11,0.053423356687887,0.7658893426658059
2017-08-07,0.10450930632411624,0.0458473429339549,0.07581473316230693,8.072147493277346e-10,0.09155771595314062,0.6822709008192666
2017-09-06,0.09014120741602341,0.04383301196214984,0.10443388577612629,6.7802356705022e-10,0.11091570477115996,0.650676189396517
2017-10-05,0.09557133022397941,0.04778685291396683,0.10094396591948908,5.6353521207912747e-11,0.09746534574475972,0.6582325051414514
2017-11-03,0.12925189881688645,0.05083484499265173,0.10837553641773857,2.2614573709656274e-10,0.07806793842796138,0.6334697811186162
2017-12-04,0.0996719372403128,0.05317378420802193,1.7823812075535135e-10,0.0528816448133632,3.044921424542679e-10,0.7942726332555718
2018-01-05,0.08314380386217833,0.047503542787494815,2.0873682805717706e-09,0.1325549068144087,0.07748604963195944,0.6593116948165905
2018-02-05,0.10967843631986426,0.10691901389129957,0.025582638866179966,0.008481815106693213,6.6151724677322935e-09,0.7493380892007906
2018-03-06,6.644787309997993e-11,0.08499886671432359,7.1986378699324e-11,6.794182515809952e-11,0.17717169290732346,0.7378294401719769
2018-04-06,8.042594224274177e-10,0.06267868236119677,2.972784873522541e-10,1.0970613794690626e-10,0.16934984164956493,0.7679714747779943
2018-05-09,4.176728198850876e-09,0.05885704670061989,4.853492922170214e-09,2.854149118178809e-09,0.1526453835614142,0.7884975578535958
2018-06-08,1.130750612730354e-09,0.07767330389317963,0.0011216047914224048,4.038544101987932e-10,0.24317722319935026,0.6780278665814427
2018-07-09,1.2904665014682945e-10,0.05912082102335724,0.025594036145508408,5.6582421430451655e-11,0.24094836311416942,0.674336779531336
2018-08-07,2.2026337480553904e-09,0.058439494785448354,0.012484651644741874,1.6531136134562258e-09,0.24241787455037944,0.686657975163683
2018-09-06,2.7007219717411027e-11,0.06896311810653676,0.038082774565525335,1.7216163548438622e-11,0.23035096927782486,0.6626031380058898
