strategy,estimation_window,CAGR,Ann_Volatility,Sharpe,Sortino,VaR_95,CVaR_95,Max_Drawdown,n_oos_days
min_variance,252,0.0161181998498221,0.055891343152496234,0.2860851058944236,0.3923787657491304,0.005452171012711119,0.008391720110285045,-0.17128445470172227,2246
min_variance,504,0.00492381783009832,0.058631194256285435,0.0837734169669778,0.1158793043438682,0.005899237587178283,0.008978350454104802,-0.19658326867687903,1994
cvar_95,252,0.007561543361034095,0.05464742818497862,0.13784908906317975,0.19082578433428699,0.005400085952987592,0.00815638161741646,-0.20548723416251102,2246
cvar_95,504,0.0062716182273896415,0.05680270632622078,0.11006576758225158,0.1535148235629743,0.005615991805206946,0.008446107202029613,-0.19728280740535442,1994
