strategy,cvar_alpha,CAGR,Ann_Volatility,Sharpe,Sortino,VaR_95,CVaR_95,Max_Drawdown,n_oos_days
cvar_90,0.9,0.007942709680463622,0.053981675746032645,0.14655588753359003,0.20276103606550208,0.005161390921810372,0.008151974297212703,-0.20456813856684664,2246
cvar_95,0.95,0.007561543361034095,0.05464742818497862,0.13784908906317975,0.19082578433428699,0.005400085952987592,0.00815638161741646,-0.20548723416251102,2246
cvar_99,0.99,0.002318107220568022,0.05933644747550203,0.039021961265632905,0.053250637316453145,0.0058343751615310725,0.008882858360202093,-0.22559253948682312,2246
