strategy,rebalance_freq,CAGR,Ann_Volatility,Sharpe,Sortino,VaR_95,CVaR_95,Max_Drawdown,n_oos_days
equal_weight,21,0.05739157396263583,0.10062903050767151,0.5545625936010673,0.7413149766132896,0.009490003147925474,0.015634971445858636,-0.22016301805382432,2246
equal_weight,63,0.057391573962637166,0.10062903050767202,0.554562593601078,0.7413149766133044,0.009490003147925561,0.01563497144585868,-0.22016301805382466,2246
min_variance,21,0.0161181998498221,0.055891343152496234,0.2860851058944236,0.3923787657491304,0.005452171012711119,0.008391720110285045,-0.17128445470172227,2246
min_variance,63,0.018460486297551704,0.05683318921905977,0.32185700304021336,0.44205912471375025,0.005417439351435512,0.008569269484010865,-0.14942506983894666,2246
cvar_95,21,0.007561543361034095,0.05464742818497862,0.13784908906317975,0.19082578433428699,0.005400085952987592,0.00815638161741646,-0.20548723416251102,2246
cvar_95,63,0.007199248169610373,0.05513193168489256,0.1301143833090166,0.1809694683619925,0.005410143823655614,0.008241594197668395,-0.20659436699922218,2246
